table,column,value
album,albumid,
album,title,
album,artistid,
artist,artistid,
artist,name,
customer,customerid,
customer,firstname,
customer,lastname,
customer,company,Riotur
customer,company,Google Inc.
customer,company,Rogers Canada
customer,company,Embraer - Empresa Brasileira de Aeronáutica S.A.
customer,company,JetBrains s.r.o.
customer,company,Banco do Brasil S.A.
customer,company,Woodstock Discos
customer,company,Telus
customer,company,Apple Inc.
customer,company,
customer,company,Microsoft Corporation
customer,address,
customer,city,
customer,state,
customer,country,
customer,postalcode,
customer,phone,
customer,fax,+55 (11) 3055-8131
customer,fax,+55 (61) 3363-7855
customer,fax,+1 (408) 996-1011
customer,fax,+1 (780) 434-5565
customer,fax,+1 (212) 221-4679
customer,fax,+1 (425) 882-8081
customer,fax,+55 (11) 3033-4564
customer,fax,+55 (12) 3923-5566
customer,fax,
customer,fax,+420 2 4172 5555
customer,fax,+55 (21) 2271-7070
customer,fax,+1 (650) 253-0000
customer,fax,+1 (604) 688-8756
customer,email,
customer,supportrepid,3
customer,supportrepid,4
customer,supportrepid,5
employee,employeeid,1
employee,employeeid,2
employee,employeeid,3
employee,employeeid,4
employee,employeeid,5
employee,employeeid,6
employee,employeeid,7
employee,employeeid,8
employee,lastname,Adams
employee,lastname,Park
employee,lastname,King
employee,lastname,Johnson
employee,lastname,Edwards
employee,lastname,Peacock
employee,lastname,Callahan
employee,lastname,Mitchell
employee,firstname,Robert
employee,firstname,Nancy
employee,firstname,Steve
employee,firstname,Margaret
employee,firstname,Laura
employee,firstname,Andrew
employee,firstname,Michael
employee,firstname,Jane
employee,title,IT Staff
employee,title,General Manager
employee,title,Sales Manager
employee,title,IT Manager
employee,title,Sales Support Agent
employee,reportsto,1
employee,reportsto,2
employee,reportsto,
employee,reportsto,6
employee,birthdate,1965-03-03 00:00:00
employee,birthdate,1947-09-19 00:00:00
employee,birthdate,1958-12-08 00:00:00
employee,birthdate,1973-07-01 00:00:00
employee,birthdate,1968-01-09 00:00:00
employee,birthdate,1970-05-29 00:00:00
employee,birthdate,1973-08-29 00:00:00
employee,birthdate,1962-02-18 00:00:00
employee,hiredate,2002-04-01 00:00:00
employee,hiredate,2003-10-17 00:00:00
employee,hiredate,2004-03-04 00:00:00
employee,hiredate,2002-08-14 00:00:00
employee,hiredate,2002-05-01 00:00:00
employee,hiredate,2003-05-03 00:00:00
employee,hiredate,2004-01-02 00:00:00
employee,address,683 10 Street SW
employee,address,1111 6 Ave SW
employee,address,590 Columbia Boulevard West
employee,address,923 7 ST NW
employee,address,7727B 41 Ave
employee,address,11120 Jasper Ave NW
employee,address,825 8 Ave SW
employee,address,5827 Bowness Road NW
employee,city,Edmonton
employee,city,Calgary
employee,city,Lethbridge
employee,state,AB
employee,country,Canada
employee,postalcode,T1H 1Y8
employee,postalcode,T5K 2N1
employee,postalcode,T3B 0C5
employee,postalcode,T2P 2T3
employee,postalcode,T2P 5G3
employee,postalcode,T1K 5N8
employee,postalcode,T3B 1Y7
employee,postalcode,T2P 5M5
employee,phone,+1 (403) 467-3351
employee,phone,1 (780) 836-9987
employee,phone,+1 (403) 246-9887
employee,phone,+1 (780) 428-9482
employee,phone,+1 (403) 263-4423
employee,phone,+1 (403) 456-9986
employee,phone,+1 (403) 262-3443
employee,fax,+1 (403) 262-6712
employee,fax,+1 (403) 263-4289
employee,fax,+1 (403) 246-9899
employee,fax,+1 (403) 467-8772
employee,fax,1 (780) 836-9543
employee,fax,+1 (403) 456-8485
employee,fax,+1 (780) 428-3457
employee,fax,+1 (403) 262-3322
employee,email,margaret@chinookcorp.com
employee,email,steve@chinookcorp.com
